Diagnóstico;Sexo;Provincia de hospitalización;Total
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Total;362.114
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Andalucía;65.806
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Almería;4.921
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cádiz;10.893
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Córdoba;4.976
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Granada;9.050
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huelva;5.815
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Jaén;3.486
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Málaga;11.482
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Sevilla;15.183
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Aragón;13.987
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Huesca;2.899
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Teruel;616
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zaragoza;10.473
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Asturias (Principado de);12.082
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Balears (Illes);9.998
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Canarias;31.330
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palmas (Las);12.456
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Santa Cruz de Tenerife;18.874
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cantabria;6.670
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla y León;19.688
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Avila;1.651
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Burgos;2.345
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;León;5.755
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Palencia;945
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Salamanca;2.538
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Segovia;883
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Soria;533
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Valladolid;3.907
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Zamora;1.131
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castilla - La Mancha;8.746
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Albacete;1.289
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ciudad Real;2.706
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cuenca;1.646
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Guadalajara;299
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Toledo;2.806
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cataluña;64.854
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Barcelona;51.924
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Girona;5.187
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Lleida;3.909
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Tarragona;3.834
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Comunidad Valenciana;29.643
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Alicante;12.734
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Castellón de la Plana;2.015
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Valencia;14.894
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Extremadura;6.851
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Badajoz;5.155
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Cáceres;1.696
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Galicia;24.130
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Coruña (A);10.686
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Lugo;4.033
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ourense;2.642
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Pontevedra;6.770
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Madrid (Comunidad de);33.786
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Murcia (Región de);8.158
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Navarra (Comun. Foral de);5.488
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;País Vasco;13.959
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Alava;1.922
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Guipúzcoa;5.386
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Vizcaya;6.651
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Rioja (La);3.381
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Ceuta;2.189
Enf. de glánd. endocr. del metabolismo:- Diabetes;Ambos sexos;Melilla;1.367
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Total;179.359
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Andalucía;32.785
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Almería;2.327
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cádiz;4.984
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Córdoba;2.366
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Granada;4.075
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huelva;3.692
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Jaén;1.920
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Málaga;6.402
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Sevilla;7.019
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Aragón;6.588
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Huesca;1.204
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Teruel;290
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zaragoza;5.095
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Asturias (Principado de);6.540
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Balears (Illes);5.630
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Canarias;12.445
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palmas (Las);4.348
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Santa Cruz de Tenerife;8.097
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cantabria;3.785
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla y León;8.732
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Avila;504
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Burgos;1.223
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;León;2.019
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Palencia;400
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Salamanca;1.291
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Segovia;394
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Soria;239
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valladolid;2.140
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Zamora;522
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castilla - La Mancha;4.372
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Albacete;769
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ciudad Real;1.423
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cuenca;821
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guadalajara;173
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Toledo;1.186
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cataluña;33.608
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Barcelona;25.842
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Girona;3.197
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lleida;2.477
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Tarragona;2.091
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Comunidad Valenciana;15.408
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alicante;7.167
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Castellón de la Plana;1.088
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Valencia;7.154
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Extremadura;3.512
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Badajoz;3.065
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Cáceres;447
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Galicia;11.582
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Coruña (A);5.242
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Lugo;2.165
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ourense;1.308
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Pontevedra;2.868
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Madrid (Comunidad de);16.852
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Murcia (Región de);3.840
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Navarra (Comun. Foral de);2.815
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;País Vasco;7.326
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Alava;1.011
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Guipúzcoa;2.775
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Vizcaya;3.541
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Rioja (La);1.601
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Ceuta;1.342
Enf. de glánd. endocr. del metabolismo:- Diabetes;Varones;Melilla;597
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Total;182.754
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Andalucía;33.021
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Almería;2.594
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cádiz;5.910
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Córdoba;2.610
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Granada;4.975
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Huelva;2.123
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Jaén;1.566
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Málaga;5.080
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Sevilla;8.164
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Aragón;7.399
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Huesca;1.695
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Teruel;326
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Zaragoza;5.378
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Asturias (Principado de);5.542
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Balears (Illes);4.368
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Canarias;18.885
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Palmas (Las);8.109
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Santa Cruz de Tenerife;10.776
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cantabria;2.885
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castilla y León;10.956
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Avila;1.147
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Burgos;1.122
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;León;3.736
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Palencia;545
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Salamanca;1.248
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Segovia;489
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Soria;295
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valladolid;1.767
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Zamora;609
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castilla - La Mancha;4.374
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Albacete;520
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ciudad Real;1.283
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cuenca;825
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guadalajara;126
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Toledo;1.620
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cataluña;31.247
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Barcelona;26.081
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Girona;1.990
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lleida;1.433
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Tarragona;1.743
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Comunidad Valenciana;14.235
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alicante;5.567
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Castellón de la Plana;927
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Valencia;7.741
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Extremadura;3.339
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Badajoz;2.090
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Cáceres;1.249
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Galicia;12.548
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Coruña (A);5.444
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Lugo;1.868
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ourense;1.334
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Pontevedra;3.902
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Madrid (Comunidad de);16.934
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Murcia (Región de);4.317
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Navarra (Comun. Foral de);2.673
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;País Vasco;6.632
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Alava;911
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Guipúzcoa;2.611
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Vizcaya;3.110
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Rioja (La);1.781
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Ceuta;847
Enf. de glánd. endocr. del metabolismo:- Diabetes;Mujeres;Melilla;770
